"Project","GGW Feature ID","Feature type","Feature name","NZGD1949 Longitude","NZGD1949 Latitude","Feature length","Feature length unit","Event ID","Event start date (NZST)","Sample ID","Sample date (NZST)","Sample Type","Pumping duration","Pumping rate","Sample Comments","Sample analysis received date (NZST)","Sample analysis completed date (NZST)","Parameter","Analysis ID","Analysis by","Analysis lab","Analysis Lab ID","Result ID","Field ID","Is field analysis?","Analysis comments","Parameter type","Result","Parameter units","Result type","Result comments","Analysis parameter","Equipment","Method","Parameter reference","Parameter error (absolute)","Parameter error (%)","Parameter minimum detection","Parameter maximum detection","Parameter correction","Metadata","Collection method","Clarity","Colour","Odour","Sampling protocol"
"National Groundwater Monitoring Programme",5,"Unspecified Bore","WWD6601",172.81730260423564,-40.87856546314052,55.0,"Metres",11695,2003-03-24 12:00:00.0,18481,2003-03-24 12:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"90. Acidity pH units, Ph meter, pH in water, Measured",29241,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300537",5049,"CENTRAL TAKAKA",false,,"Acidity pH units","7.33","pH","Instant",,"Acidity pH units","Ph meter","pH in water","Measured",,,,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",5,"Unspecified Bore","WWD6601",172.81730260423564,-40.87856546314052,55.0,"Metres",11695,2003-03-24 12:00:00.0,18481,2003-03-24 12:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"270. Bromine mg/L (bromide) as Br - filterable, Ion exchange chromatograph, Anions in water by ion chromatography, Measured",29241,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300537",5603,"CENTRAL TAKAKA",false,,"Bromine mg/L (bromide) as Br - filterable","<0.10","mg/L","Instant",,"Bromine mg/L (bromide) as Br - filterable","Ion exchange chromatograph","Anions in water by ion chromatography","Measured",,,0.1,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",5,"Unspecified Bore","WWD6601",172.81730260423564,-40.87856546314052,55.0,"Metres",11695,2003-03-24 12:00:00.0,18481,2003-03-24 12:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"274. Phosphorus mg/L as P- Reactive - filterable, Ion exchange chromatograph, Anions in water by ion chromatography, Measured",29241,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300537",5921,"CENTRAL TAKAKA",false,,"Phosphorus mg/L as P- Reactive - filterable","<0.05","mg/L","Instant",,"Phosphorus mg/L as P- Reactive - filterable","Ion exchange chromatograph","Anions in water by ion chromatography","Measured",,,0.05,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",5,"Unspecified Bore","WWD6601",172.81730260423564,-40.87856546314052,55.0,"Metres",11695,2003-03-24 12:00:00.0,18481,2003-03-24 12:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"202. Total solids (electrical conductivity) uS/cm at 25 degrees, Generic Conductivity Meter, Conductivity in water, Measured",29241,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300537",4883,"CENTRAL TAKAKA",false,,"Total solids (electrical conductivity) uS/cm at 25 degrees","280","uS/cm","Instant",,"Total solids (electrical conductivity) uS/cm at 25 degrees","Generic Conductivity Meter","Conductivity in water","Measured",,,,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",5,"Unspecified Bore","WWD6601",172.81730260423564,-40.87856546314052,55.0,"Metres",11695,2003-03-24 12:00:00.0,18481,2003-03-24 12:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"100. Iron mg/L All forms as Fe - filterable, AE - atomic emission spectrophotometer (AESICP), Metals in water by ICP, Measured",29241,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300537",5369,"CENTRAL TAKAKA",false,,"Iron mg/L All forms as Fe - filterable","0.025","mg/L","Instant",,"Iron mg/L All forms as Fe - filterable","AE - atomic emission spectrophotometer (AESICP)","Metals in water by ICP","Measured",,,0.02,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",5,"Unspecified Bore","WWD6601",172.81730260423564,-40.87856546314052,55.0,"Metres",11695,2003-03-24 12:00:00.0,18481,2003-03-24 12:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"273. Nitrate mg/L as N - filterable, Ion exchange chromatograph, Anions in water by ion chromatography, Measured",29241,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300537",5814,"CENTRAL TAKAKA",false,,"Nitrate mg/L as N - filterable","2.4","mg/L","Instant",,"Nitrate mg/L as N - filterable","Ion exchange chromatograph","Anions in water by ion chromatography","Measured",,,0.03,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",5,"Unspecified Bore","WWD6601",172.81730260423564,-40.87856546314052,55.0,"Metres",11695,2003-03-24 12:00:00.0,18481,2003-03-24 12:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"275. Ammonium mg/L as N - filterable, Ion exchange chromatograph, Anions in water by ion chromatography, Measured",29241,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300537",5931,"CENTRAL TAKAKA",false,,"Ammonium mg/L as N - filterable","<0.01","mg/L","Instant",,"Ammonium mg/L as N - filterable","Ion exchange chromatograph","Anions in water by ion chromatography","Measured",,,0.01,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",5,"Unspecified Bore","WWD6601",172.81730260423564,-40.87856546314052,55.0,"Metres",11695,2003-03-24 12:00:00.0,18481,2003-03-24 12:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"53. Weather, Observation by a person, Unknown method, Measured",29438,"Unknown Person. Unknown Organisation (Unk. Org.)","Unknown Person, , Unknown Organisation"," ",6343,"CENTRAL TAKAKA",true,,"Weather","Fine, 0% cloud, calm",,"Instant",,"Weather","Observation by a person","Unknown method","Measured",,,,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",5,"Unspecified Bore","WWD6601",172.81730260423564,-40.87856546314052,55.0,"Metres",11695,2003-03-24 12:00:00.0,18481,2003-03-24 12:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"221. Temperature Deg. C- analysis temperature , Unknown Equipment, Unknown method, Measured",29241,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300537",5382,"CENTRAL TAKAKA",false,,"Temperature Deg. C- analysis temperature ","20","Deg. C","Instant",,"Temperature Deg. C- analysis temperature ","Unknown Equipment","Unknown method","Measured",,,,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",5,"Unspecified Bore","WWD6601",172.81730260423564,-40.87856546314052,55.0,"Metres",11695,2003-03-24 12:00:00.0,18481,2003-03-24 12:00:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"92. Bicarbonate mg/L as HCO3 - total, Glass buret, Alkalinity in water by titration, Measured",29241,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300537",5134,"CENTRAL TAKAKA",false,,"Bicarbonate mg/L as HCO3 - total","148","mg/L","Instant",,"Bicarbonate mg/L as HCO3 - total","Glass buret","Alkalinity in water by titration","Measured",,,,,,"March 2003 NGMP sample sheets",,,,,
