~~~ Hilltop Hydro ~~~ Version 6.92                                          27-Jun-2023
~~~ P3 ~~~
 
Source is \\tsrvfiles\hydrology\Datafiles\Archive\Hydrology-Archive.hts
Groundwater Level (mm) at GW 23579 - Eden
Monthly stats from  1-Jan-1975 to  1-Jun-2023
Year	Month	Minimum	Mean	Maximum	Std Dev	20th %	25th %	Median	75th %	80th %
2009	9	15309	15651	15848	165	15466	15533	15704	15797	15808
2009	10	15785	16420	16643	163	16245	16304	16498	16527	16533
2009	11	15027	15850	16625	472	15320	15415	15911	16242	16264
2009	12	13970	14598	15234	420	14161	14200	14501	14998	15129
2010	1	13648	14143	14692	281	13899	13923	14053	14457	14519
2010	2	13934	14265	14476	129	14151	14175	14287	14376	14389
2010	3	13510	13748	14054	131	13622	13636	13749	13838	13852
2010	4	13175	13408	13636	118	13288	13304	13409	13487	13506
2010	5	13434	13855	14661	372	13514	13527	13635	14247	14290
2010	6	14661	15777	16279	485	15276	15444	15990	16136	16154
2010	7	15050	15630	16117	319	15315	15345	15718	15952	15994
2010	8	15077	15632	16082	345	15208	15244	15794	15939	15970
2010	9	15471	15647	15940	116	15533	15546	15618	15749	15770
2010	10	14936	15715	16189	343	15371	15402	15812	16025	16038
2010	11	13907	14382	15028	294	14088	14118	14336	14602	14675
2010	12	13609	14642	16252	1011	13780	13805	13920	15931	15987
2011	1	14693	15438	16004	284	15172	15276	15456	15577	15688
2011	2	13906	14355	14856	249	14126	14156	14288	14591	14639
2011	3	13520	13949	14390	244	13701	13721	13939	14117	14259
2011	4	13441	13832	14032	130	13754	13775	13832	13926	13970
2011	5	13986	15488	16788	886	14385	14686	15832	15953	16001
2011	6	16654	16838	17112	142	16709	16727	16792	16933	17012
2011	7	16425	16735	16958	135	16593	16610	16812	16840	16845
2011	8	15077	15775	16425	416	15292	15414	15776	16136	16264
2011	9	14371	14727	15134	153	14615	14629	14752	14851	14856
2011	10	14393	15945	16427	524	15900	15972	16119	16268	16299
2011	11	14859	15721	16182	376	15343	15418	15884	16030	16077
2011	12	14851	15581	17122	482	15029	15126	15691	15855	15870
2012	1	15699	16526	17123	392	16123	16200	16582	16886	16935
2012	2	14863	15404	15927	243	15205	15229	15421	15546	15621
2012	3	14506	14996	15587	283	14744	14781	14934	15234	15282
2012	4	13899	14208	14575	159	14062	14080	14174	14350	14355
2012	5	13904	14111	14250	85	14016	14026	14123	14178	14187
2012	6	13883	15170	16719	1071	14063	14257	14684	16539	16601
2012	7	16053	16429	16693	152	16279	16354	16439	16527	16556
2012	8	15985	16355	16679	225	16083	16096	16357	16588	16596
2012	9	16495	16739	16915	89	16679	16692	16752	16797	16811
2012	10	15346	16141	16674	344	15701	15814	16306	16361	16406
2012	11	13996	14694	15420	353	14387	14416	14727	14940	15049
2012	12	13770	14040	14281	124	13925	13948	14031	14146	14165
