wwd_number,well_number,bore_id,aquifer,hilltop_name,sample_count,sampled_2021,other_notes
WWD1007,1007,20010,AGUA,GW 1007,1,yes,
WWD1012,1012,20016,AGUA,GW 1012,1,yes,
WWD1014,1014,20018,UCA,GW 1014,1,yes,
WWD1022,1022,20030,LCA,GW 1022 - Waimea at Kings obs bore,4,yes,
WWD103,103,,UCA,GW 103,6,,
WWD1040,1040,20056,AGUA,GW 1040 - Redwood at Appleby,2,yes,
WWD1041,1041,20057,AGUA,GW 1041,4,yes,
WWD1046,1046,20062,AGUA,GW 1046,4,yes,
WWD1048,1048,20064,AGUA,GW 1048,4,yes,
WWD105,105,20066,LCA,GW 105 - Rail Reserve,8,yes,
WWD1054,1054,20071,AGUA,GW 1054,1,yes,
WWD1057,1057,20083,UCA,GW 1057,4,yes,
WWD1062,1062,20089,AGUA,GW 1062,3,yes,
WWD1069,1069,20096,AGUA,GW 1069 - McCliskie,4,yes,
WWD108,108,20124,AGUA,GW 108,4,yes,
WWD1085,1085,20129,UCA,GW 1085,2,yes,
WWD1093,1093,20141,AGUA,GW 1093,1,yes,
WWD1094,1094,20142,AGUA,GW 1094,3,yes,
WWD1102,1102,20152,AGUA,GW 1102,4,yes,
WWD1103,1103,20153,AGUA,GW 1103,3,yes,
WWD1127,1127,20182,AGUA,GW 1127,2,,
WWD1128,1128,20183,AGUA,GW 1128 - McKenzie,3,yes,
WWD1129,1129,20184,AGUA,GW 1129 - Ferguson,3,yes,
WWD1138,1138,20194,AGUA,GW 1138,2,yes,
WWD114,114,20196,AGUA,GW 114 - TDC Roadside,97,yes,SOE 3 Monthly
WWD115,115,20207,LCA,GW 115,2,yes,
WWD1161,1161,20220,AGUA,GW 1161 - Kings,3,yes,
WWD1164,1164,20223,AGUA,GW 1164,1,,
WWD1166,1166,20225,AGUA,GW 1166,2,,
WWD1179,1179,20239,UCA,GW 1179,1,yes,
WWD1185,1185,20246,UCA,GW 1185,2,yes,
WWD119,119,20251,LCA,GW 119 - Chipmill,8,yes,
WWD1206,1206,20270,AGUA,GW 1206,3,yes,
WWD127,127,20340,HU,GW 127,59,yes,Monthly data
WWD134,134,20417,LCA,GW 134,24,yes,
WWD137,137,20447,LCA,GW 137,5,yes,
WWD1381,1381,20458,AGUA,GW 1381,3,yes,
WWD1392,1392,20468,AGUA,GW 1392 - Spring Grove,82,yes,SOE 3 Monthly
WWD14,14,20475,LCA,GW 14 - Bells Island,7,yes,
WWD1415,1415,20498,AGUA,GW 1415,2,yes,
WWD151,151,20550,UCA,GW 151,11,yes,
WWD152,152,20551,HU,GW 152,35,yes,
WWD153,153,20552,UCA,GW 153,30,yes,
WWD159,159,20558,UCA,GW 159,8,yes,
WWD16,16,20559,HU,GW 16,16,yes,
WWD163,163,20563,AGUA,GW 163,66,yes,Monthly data
WWD164,164,20564,UCA,GW 164,7,yes,
