site_name,easting,northing,catchment
GW 1007,1612105,5427627,Waimea
GW 1012,1608418,5423699,Waimea
GW 1014,1611979,5424362,Waimea
GW 1022 - King,1613226,5424742,Waimea
GW 1040 - Redwood,1610520,5426620,Waimea
GW 1041,1612715,5425478,Waimea
GW 1046,1610009,5428815,Waimea
GW 1047,1610169,5428967,Waimea
GW 1048,1610380,5428871,Waimea
GW 105 - Rail Reserve,1609864,5419844,Waimea
GW 1050,1612429,5427427,Waimea
GW 1054,1612106,5428161,Waimea
GW 1057,1611749,5423508,Waimea
GW 1061,1610270,5420651,Waimea
GW 1062,1613571,5425736,Waimea
GW 1069 - McCliskie,1610406,5427527,Waimea
GW 108,1610383,5418136,Waimea
GW 1085,1611445,5424437,Waimea
GW 1093,1610552,5419548,Waimea
GW 1094,1611307,5425504,Waimea
GW 1102,1613724,5425173,Waimea
GW 1103,1613987,5424704,Waimea
GW 1127 - Simpson,1607870,5420324,Waimea
GW 1128 - McKenzie,1607222,5419681,Waimea
GW 1129 - Ferguson,1606681,5419264,Waimea
GW 1138,1611409,5427547,Waimea
GW 114 - TDC Roadside,1610324,5419792,Waimea
GW 1148,1600744,5447021,Motueka
GW 115,1612097,5421885,Waimea
GW 1161 - King,1612168,5425198,Waimea
GW 1164,1612061,5425361,Waimea
GW 1166,1612813,5426082,Waimea
GW 1179,1611338,5423933,Waimea
GW 1185,1612033,5421113,Waimea
GW 119 - Chipmill,1614221,5425528,Waimea
GW 1206,1613644,5425499,Waimea
GW 1210,1610528,5417920,Waimea
GW 127,1610671,5423814,Waimea
GW 134,1610796,5420823,Waimea
GW 1369,1612670,5427202,Waimea
GW 137,1612963,5423937,Waimea
GW 1370,1612015,5426931,Waimea
GW 1375,1609641,5422072,Waimea
GW 1381,1612929,5425903,Waimea
GW 1386,1608482,5424678,Waimea
GW 1387,1611922,5427508,Waimea
GW 1392 - Spring Grove,1605907,5417667,Waimea
GW 14 - Bells Island,1615029,5428138,Waimea
GW 1415,1612840,5426365,Waimea
GW 151,1612327,5420178,Waimea
GW 152,1611492,5419572,Waimea
GW 153,1611113,5419518,Waimea
GW 159,1612418,5419901,Waimea
GW 16 - Johnstone,1612672,5422396,Waimea
GW 163,1611537,5424174,Waimea
GW 164,1611479,5419717,Waimea
GW 17,1612285,5423332,Waimea
GW 175,1612206,5424844,Waimea
GW 176,1611812,5422683,Waimea
GW 182,1612712,5420605,Waimea
GW 189,1611396,5421197,Waimea
GW 190,1612089,5422900,Waimea
GW 194,1613604,5423669,Waimea
GW 196,1613543,5423643,Waimea
GW 197,1612648,5424813,Waimea
GW 198,1612579,5424956,Waimea
GW 20,1612563,5424184,Waimea
GW 2000,1599724,5450860,Motueka
GW 2001,1597908,5450290,Motueka
GW 2002,1598234,5447533,Motueka
GW 2011,1598274,5450330,Motueka
GW 2013,1597865,5451040,Motueka
GW 2022,1599931,5446738,Motueka
GW 2030,1599963,5447345,Motueka
GW 2044,1599814,5449191,Motueka
GW 2056,1599231,5445681,Motueka
GW 2063,1600404,5448111,Motueka
GW 20634,1599706,5448751,Motueka
GW 2065,1600665,5452822,Motueka
GW 2066,1600290,5447665,Motueka
GW 2075,1598644,5447991,Motueka
GW 20797,1601028,5449454,Motueka
GW 208,1612672,5422396,Waimea
GW 20864 - Golf Course,1602215,5448592,Motueka
GW 2087,1600913,5446492,Motueka
GW 2104,1600713,5450090,Motueka
GW 2115,1599354,5449421,Motueka
GW 21186,1599714,5450966,Motueka
GW 2119,1600051,5447305,Motueka
GW 21224,1601053,5448541,Motueka
GW 2136,1599648,5448973,Motueka
GW 214,1612453,5423159,Waimea
GW 2140,1599495,5447625,Motueka
GW 2145,1602007,5447386,Motueka
GW 2153,1599665,5446423,Motueka
GW 2179 - Nurs Nth,1599953,5449644,Motueka
GW 2186,1601567,5449150,Motueka
GW 219,1611416,5424292,Waimea
GW 22160 - Lwr Queen St,1611825,5427949,Waimea
GW 225,1610754,5421464,Waimea
GW 228,1611342,5419030,Waimea
GW 23366 - Challies 1,1609990,5424246,Waimea
GW 23367 - Challies 2,1609856,5424684,Waimea
GW 23391,1599633,5442511,Moutere
GW 23393,1602629,5433407,Moutere
GW 234,1612200,5420362,Waimea
GW 23416,1601250,5430748,Moutere
GW 23420,1607375,5430352,Moutere
GW 23437,1578118,5406774,Motueka
GW 23438,1583647,5421732,Motueka
GW 23442,1608450,5432655,Moutere
GW 23443,1608502,5432735,Moutere
GW 23445,1608466,5432689,Moutere
GW 23446,1608437,5432676,Moutere
GW 23447,1608398,5432676,Moutere
GW 23448,1608293,5432638,Moutere
GW 23449,1608250,5432639,Moutere
GW 23450,1608193,5432639,Moutere
GW 23452,1608145,5432640,Moutere
GW 23455,1608186,5432678,Moutere
GW 23456,1608333,5432784,Moutere
GW 23473,1584414,5419145,Motueka
GW 23476,1606840,5435711,Moutere
GW 23477,1604071,5442046,Moutere
GW 23480,1610814,5423085,Waimea
GW 23489,1604215,5442047,Moutere
GW 23496,1577334,5414541,Motueka
GW 23508,1576903,5417259,Motueka
GW 23510,1584847,5419335,Motueka
GW 23518 - Richardson,1606405,5419063,Waimea
GW 23543 - TDC Prod 1,1606451,5419004,Waimea
GW 23571,1573022,5496889,Aorere
GW 23575,1610453,5422317,Waimea
GW 23577,1609694,5426681,Waimea
GW 23578,1595933,5441283,Moutere
GW 23579 - Eden,1611015,5422212,Waimea
GW 23585,1598613,5448711,Motueka
GW 23586,1573503,5505562,Aorere
GW 23587,1608359,5432676,Moutere
GW 23588,1608354,5432760,Moutere
GW 23589,1608433,5432704,Moutere
GW 23590,1608437,5432740,Moutere
GW 23591,1608320,5432736,Moutere
GW 23592,1608259,5432738,Moutere
GW 23593,1608238,5432665,Moutere
GW 23594,1608248,5432665,Moutere
GW 23595,1608266,5432848,Moutere
GW 23596,1608331,5432637,Moutere
GW 23597,1608287,5432694,Moutere
GW 23598,1608396,5432732,Moutere
GW 23599,1608486,5432702,Moutere
GW 23600,1601298,5428066,Moutere
